配置,模型,指标,阶段,均值
关闭重启与历史路径强化,第二个 GP 表达式,用于历史来源的预算比例,第 1001–2500 轮,0.0
关闭重启与历史路径强化,第二个 GP 表达式,用于历史来源的预算比例,第 2501–5000 轮,0.0
关闭重启与历史路径强化,第二个 GP 表达式,构造路径平均 gap（%）,第 1–250 轮,11.449173182951895
关闭重启与历史路径强化,第二个 GP 表达式,构造路径平均 gap（%）,第 251–1000 轮,2.765431924288342
关闭重启与历史路径强化,第二个 GP 表达式,构造路径平均 gap（%）,第 1001–2500 轮,2.663456157093336
关闭重启与历史路径强化,第二个 GP 表达式,构造路径平均 gap（%）,第 2501–5000 轮,2.6895158505576675
关闭重启与历史路径强化,第二个 GP 表达式,2-opt 后路径平均 gap（%）,第 1–250 轮,2.580075951380752
关闭重启与历史路径强化,第二个 GP 表达式,2-opt 后路径平均 gap（%）,第 251–1000 轮,0.6543125622949229
关闭重启与历史路径强化,第二个 GP 表达式,2-opt 后路径平均 gap（%）,第 1001–2500 轮,0.6007306980378033
关闭重启与历史路径强化,第二个 GP 表达式,2-opt 后路径平均 gap（%）,第 2501–5000 轮,0.5773354723833327
关闭重启与历史路径强化,第二个 GP 表达式,构造路径最优 gap（%）,第 1–250 轮,6.368645902409931
关闭重启与历史路径强化,第二个 GP 表达式,构造路径最优 gap（%）,第 251–1000 轮,0.4436206603127213
关闭重启与历史路径强化,第二个 GP 表达式,构造路径最优 gap（%）,第 1001–2500 轮,0.39651756884206824
关闭重启与历史路径强化,第二个 GP 表达式,构造路径最优 gap（%）,第 2501–5000 轮,0.3676617866395201
关闭重启与历史路径强化,第二个 GP 表达式,2-opt 后本轮最优 gap（%）,第 1–250 轮,1.5712176403659561
关闭重启与历史路径强化,第二个 GP 表达式,2-opt 后本轮最优 gap（%）,第 251–1000 轮,0.44217143356710553
关闭重启与历史路径强化,第二个 GP 表达式,2-opt 后本轮最优 gap（%）,第 1001–2500 轮,0.3961686474816019
关闭重启与历史路径强化,第二个 GP 表达式,2-opt 后本轮最优 gap（%）,第 2501–5000 轮,0.3674655223900484
关闭重启与历史路径强化,第二个 GP 表达式,构造路径较优七条平均 gap（%）,第 1–250 轮,7.490212284311122
关闭重启与历史路径强化,第二个 GP 表达式,构造路径较优七条平均 gap（%）,第 251–1000 轮,0.452285574986156
关闭重启与历史路径强化,第二个 GP 表达式,构造路径较优七条平均 gap（%）,第 1001–2500 轮,0.3990667077334873
关闭重启与历史路径强化,第二个 GP 表达式,构造路径较优七条平均 gap（%）,第 2501–5000 轮,0.36966319970861844
关闭重启与历史路径强化,第二个 GP 表达式,2-opt 后较优七条平均 gap（%）,第 1–250 轮,1.8241384108783039
关闭重启与历史路径强化,第二个 GP 表达式,2-opt 后较优七条平均 gap（%）,第 251–1000 轮,0.4429299091398904
关闭重启与历史路径强化,第二个 GP 表达式,2-opt 后较优七条平均 gap（%）,第 1001–2500 轮,0.39638584993265075
关闭重启与历史路径强化,第二个 GP 表达式,2-opt 后较优七条平均 gap（%）,第 2501–5000 轮,0.36758922911144976
关闭重启与历史路径强化,第二个 GP 表达式,同轮同来源内更新树输出的标准差,第 1–250 轮,0.2534958369245949
关闭重启与历史路径强化,第二个 GP 表达式,同轮同来源内更新树输出的标准差,第 251–1000 轮,0.013470862585471604
关闭重启与历史路径强化,第二个 GP 表达式,同轮同来源内更新树输出的标准差,第 1001–2500 轮,0.01024324190248168
关闭重启与历史路径强化,第二个 GP 表达式,同轮同来源内更新树输出的标准差,第 2501–5000 轮,0.008824837932825076
关闭重启与历史路径强化,第二个 GP 表达式,更新树输出饱和比例,第 1–250 轮,0.9022540499999999
关闭重启与历史路径强化,第二个 GP 表达式,更新树输出饱和比例,第 251–1000 轮,0.9729310333333333
关闭重启与历史路径强化,第二个 GP 表达式,更新树输出饱和比例,第 1001–2500 轮,0.9691992583333334
关闭重启与历史路径强化,第二个 GP 表达式,更新树输出饱和比例,第 2501–5000 轮,0.9685470700000001
关闭重启与历史路径强化,第二个 GP 表达式,2-opt 平均改进（百分点）,第 1–250 轮,8.869097489378563
关闭重启与历史路径强化,第二个 GP 表达式,2-opt 平均改进（百分点）,第 251–1000 轮,2.1111196704690047
关闭重启与历史路径强化,第二个 GP 表达式,2-opt 平均改进（百分点）,第 1001–2500 轮,2.0627259507012106
关闭重启与历史路径强化,第二个 GP 表达式,2-opt 平均改进（百分点）,第 2501–5000 轮,2.1121809844949304
关闭重启与历史路径强化,第二个 GP 表达式,同一路径经 2-opt 后的边保留率,第 1–250 轮,0.9221500859375
关闭重启与历史路径强化,第二个 GP 表达式,同一路径经 2-opt 后的边保留率,第 251–1000 轮,0.9907935578125
关闭重启与历史路径强化,第二个 GP 表达式,同一路径经 2-opt 后的边保留率,第 1001–2500 轮,0.991099040625
关闭重启与历史路径强化,第二个 GP 表达式,同一路径经 2-opt 后的边保留率,第 2501–5000 轮,0.9908801335937499
关闭重启与历史路径强化,第二个 GP 表达式,每百轮改进全局最优的次数,第 1–250 轮,13.765
关闭重启与历史路径强化,第二个 GP 表达式,每百轮改进全局最优的次数,第 251–1000 轮,0.4925
关闭重启与历史路径强化,第二个 GP 表达式,每百轮改进全局最优的次数,第 1001–2500 轮,0.10583333333333333
关闭重启与历史路径强化,第二个 GP 表达式,每百轮改进全局最优的次数,第 2501–5000 轮,0.04125
关闭重启与历史路径强化,第二个 GP 表达式,信息素下界触发比例,第 1–250 轮,0.76907239
关闭重启与历史路径强化,第二个 GP 表达式,信息素下界触发比例,第 251–1000 轮,0.8997524941666661
关闭重启与历史路径强化,第二个 GP 表达式,信息素下界触发比例,第 1001–2500 轮,0.8999051508333332
关闭重启与历史路径强化,第二个 GP 表达式,信息素下界触发比例,第 2501–5000 轮,0.8999399209999999
关闭重启与历史路径强化,第二个 GP 表达式,每百轮重启次数,第 1–250 轮,0.0
关闭重启与历史路径强化,第二个 GP 表达式,每百轮重启次数,第 251–1000 轮,0.0
关闭重启与历史路径强化,第二个 GP 表达式,每百轮重启次数,第 1001–2500 轮,0.0
关闭重启与历史路径强化,第二个 GP 表达式,每百轮重启次数,第 2501–5000 轮,0.0
关闭重启与历史路径强化,第二个 GP 表达式,每轮硬上界裁剪次数,第 1–250 轮,0.0
关闭重启与历史路径强化,第二个 GP 表达式,每轮硬上界裁剪次数,第 251–1000 轮,0.0
关闭重启与历史路径强化,第二个 GP 表达式,每轮硬上界裁剪次数,第 1001–2500 轮,0.0
关闭重启与历史路径强化,第二个 GP 表达式,每轮硬上界裁剪次数,第 2501–5000 轮,0.0
关闭重启与历史路径强化,第三个 GP 表达式,实际强化路径的平均 gap（%）,第 1–250 轮,2.225903750609225
关闭重启与历史路径强化,第三个 GP 表达式,实际强化路径的平均 gap（%）,第 251–1000 轮,0.4461923470440138
关闭重启与历史路径强化,第三个 GP 表达式,实际强化路径的平均 gap（%）,第 1001–2500 轮,0.37289399733781503
关闭重启与历史路径强化,第三个 GP 表达式,实际强化路径的平均 gap（%）,第 2501–5000 轮,0.3567757548294724
关闭重启与历史路径强化,第三个 GP 表达式,强化路径优于本轮最优路径的幅度（百分点）,第 1–250 轮,0.0
关闭重启与历史路径强化,第三个 GP 表达式,强化路径优于本轮最优路径的幅度（百分点）,第 251–1000 轮,0.0
关闭重启与历史路径强化,第三个 GP 表达式,强化路径优于本轮最优路径的幅度（百分点）,第 1001–2500 轮,0.0
关闭重启与历史路径强化,第三个 GP 表达式,强化路径优于本轮最优路径的幅度（百分点）,第 2501–5000 轮,0.0
关闭重启与历史路径强化,第三个 GP 表达式,强化路径年龄（轮）,第 1–250 轮,0.0
关闭重启与历史路径强化,第三个 GP 表达式,强化路径年龄（轮）,第 251–1000 轮,0.0
关闭重启与历史路径强化,第三个 GP 表达式,强化路径年龄（轮）,第 1001–2500 轮,0.0
关闭重启与历史路径强化,第三个 GP 表达式,强化路径年龄（轮）,第 2501–5000 轮,0.0
关闭重启与历史路径强化,第三个 GP 表达式,用于历史来源的预算比例,第 1–250 轮,0.0
关闭重启与历史路径强化,第三个 GP 表达式,用于历史来源的预算比例,第 251–1000 轮,0.0
关闭重启与历史路径强化,第三个 GP 表达式,用于历史来源的预算比例,第 1001–2500 轮,0.0
关闭重启与历史路径强化,第三个 GP 表达式,用于历史来源的预算比例,第 2501–5000 轮,0.0
关闭重启与历史路径强化,第三个 GP 表达式,构造路径平均 gap（%）,第 1–250 轮,17.369401699836793
关闭重启与历史路径强化,第三个 GP 表达式,构造路径平均 gap（%）,第 251–1000 轮,4.8465150467644635
关闭重启与历史路径强化,第三个 GP 表达式,构造路径平均 gap（%）,第 1001–2500 轮,4.400511791109681
关闭重启与历史路径强化,第三个 GP 表达式,构造路径平均 gap（%）,第 2501–5000 轮,4.369741879633903
关闭重启与历史路径强化,第三个 GP 表达式,2-opt 后路径平均 gap（%）,第 1–250 轮,3.771257764005544
关闭重启与历史路径强化,第三个 GP 表达式,2-opt 后路径平均 gap（%）,第 251–1000 轮,0.8969826177023825
关闭重启与历史路径强化,第三个 GP 表达式,2-opt 后路径平均 gap（%）,第 1001–2500 轮,0.7682192036944286
关闭重启与历史路径强化,第三个 GP 表达式,2-opt 后路径平均 gap（%）,第 2501–5000 轮,0.751666163513141
关闭重启与历史路径强化,第三个 GP 表达式,构造路径最优 gap（%）,第 1–250 轮,10.659790206823313
关闭重启与历史路径强化,第三个 GP 表达式,构造路径最优 gap（%）,第 251–1000 轮,0.5695643910985613
关闭重启与历史路径强化,第三个 GP 表达式,构造路径最优 gap（%）,第 1001–2500 轮,0.37374441617875825
关闭重启与历史路径强化,第三个 GP 表达式,构造路径最优 gap（%）,第 2501–5000 轮,0.3572819045305242
关闭重启与历史路径强化,第三个 GP 表达式,2-opt 后本轮最优 gap（%）,第 1–250 轮,2.225903750609225
关闭重启与历史路径强化,第三个 GP 表达式,2-opt 后本轮最优 gap（%）,第 251–1000 轮,0.4461923470440138
关闭重启与历史路径强化,第三个 GP 表达式,2-opt 后本轮最优 gap（%）,第 1001–2500 轮,0.37289399733781503
关闭重启与历史路径强化,第三个 GP 表达式,2-opt 后本轮最优 gap（%）,第 2501–5000 轮,0.3567757548294724
关闭重启与历史路径强化,第三个 GP 表达式,构造路径较优七条平均 gap（%）,第 1–250 轮,12.563546805988398
关闭重启与历史路径强化,第三个 GP 表达式,构造路径较优七条平均 gap（%）,第 251–1000 轮,0.695424176398186
关闭重启与历史路径强化,第三个 GP 表达式,构造路径较优七条平均 gap（%）,第 1001–2500 轮,0.39507046304754795
关闭重启与历史路径强化,第三个 GP 表达式,构造路径较优七条平均 gap（%）,第 2501–5000 轮,0.37530529649050276
关闭重启与历史路径强化,第三个 GP 表达式,2-opt 后较优七条平均 gap（%）,第 1–250 轮,2.6620084605332632
关闭重启与历史路径强化,第三个 GP 表达式,2-opt 后较优七条平均 gap（%）,第 251–1000 轮,0.458742809026589
关闭重启与历史路径强化,第三个 GP 表达式,2-opt 后较优七条平均 gap（%）,第 1001–2500 轮,0.37324551032014064
关闭重启与历史路径强化,第三个 GP 表达式,2-opt 后较优七条平均 gap（%）,第 2501–5000 轮,0.3569933192189554
关闭重启与历史路径强化,第三个 GP 表达式,同轮同来源内更新树输出的标准差,第 1–250 轮,0.4083272761970187
关闭重启与历史路径强化,第三个 GP 表达式,同轮同来源内更新树输出的标准差,第 251–1000 轮,0.03564082521604852
关闭重启与历史路径强化,第三个 GP 表达式,同轮同来源内更新树输出的标准差,第 1001–2500 轮,0.020034548733518842
关闭重启与历史路径强化,第三个 GP 表达式,同轮同来源内更新树输出的标准差,第 2501–5000 轮,0.01954204159472271
关闭重启与历史路径强化,第三个 GP 表达式,更新树输出饱和比例,第 1–250 轮,0.05587105000000001
关闭重启与历史路径强化,第三个 GP 表达式,更新树输出饱和比例,第 251–1000 轮,0.0013644333333333336
关闭重启与历史路径强化,第三个 GP 表达式,更新树输出饱和比例,第 1001–2500 轮,0.00014372500000000004
关闭重启与历史路径强化,第三个 GP 表达式,更新树输出饱和比例,第 2501–5000 轮,0.00012768500000000002
关闭重启与历史路径强化,第三个 GP 表达式,2-opt 平均改进（百分点）,第 1–250 轮,13.598143848377168
关闭重启与历史路径强化,第三个 GP 表达式,2-opt 平均改进（百分点）,第 251–1000 轮,3.9495328213997065
关闭重启与历史路径强化,第三个 GP 表达式,2-opt 平均改进（百分点）,第 1001–2500 轮,3.6322928905569
关闭重启与历史路径强化,第三个 GP 表达式,2-opt 平均改进（百分点）,第 2501–5000 轮,3.6180765708996945
关闭重启与历史路径强化,第三个 GP 表达式,同一路径经 2-opt 后的边保留率,第 1–250 轮,0.875255375
关闭重启与历史路径强化,第三个 GP 表达式,同一路径经 2-opt 后的边保留率,第 251–1000 轮,0.980446421875
关闭重启与历史路径强化,第三个 GP 表达式,同一路径经 2-opt 后的边保留率,第 1001–2500 轮,0.9832703981770834
关闭重启与历史路径强化,第三个 GP 表达式,同一路径经 2-opt 后的边保留率,第 2501–5000 轮,0.98331304484375
关闭重启与历史路径强化,第三个 GP 表达式,每百轮改进全局最优的次数,第 1–250 轮,12.1275
关闭重启与历史路径强化,第三个 GP 表达式,每百轮改进全局最优的次数,第 251–1000 轮,1.1666666666666667
关闭重启与历史路径强化,第三个 GP 表达式,每百轮改进全局最优的次数,第 1001–2500 轮,0.07791666666666666
关闭重启与历史路径强化,第三个 GP 表达式,每百轮改进全局最优的次数,第 2501–5000 轮,0.02975
关闭重启与历史路径强化,第三个 GP 表达式,信息素下界触发比例,第 1–250 轮,0.747320375
关闭重启与历史路径强化,第三个 GP 表达式,信息素下界触发比例,第 251–1000 轮,0.8985301441666664
关闭重启与历史路径强化,第三个 GP 表达式,信息素下界触发比例,第 1001–2500 轮,0.899892485
关闭重启与历史路径强化,第三个 GP 表达式,信息素下界触发比例,第 2501–5000 轮,0.8999313647499998
关闭重启与历史路径强化,第三个 GP 表达式,每百轮重启次数,第 1–250 轮,0.0
关闭重启与历史路径强化,第三个 GP 表达式,每百轮重启次数,第 251–1000 轮,0.0
关闭重启与历史路径强化,第三个 GP 表达式,每百轮重启次数,第 1001–2500 轮,0.0
关闭重启与历史路径强化,第三个 GP 表达式,每百轮重启次数,第 2501–5000 轮,0.0
关闭重启与历史路径强化,第三个 GP 表达式,每轮硬上界裁剪次数,第 1–250 轮,0.0
关闭重启与历史路径强化,第三个 GP 表达式,每轮硬上界裁剪次数,第 251–1000 轮,0.0
关闭重启与历史路径强化,第三个 GP 表达式,每轮硬上界裁剪次数,第 1001–2500 轮,0.0
关闭重启与历史路径强化,第三个 GP 表达式,每轮硬上界裁剪次数,第 2501–5000 轮,0.0
关闭重启与历史路径强化,三个 GP 表达式均值,实际强化路径的平均 gap（%）,第 1–250 轮,1.9560595849224345
关闭重启与历史路径强化,三个 GP 表达式均值,实际强化路径的平均 gap（%）,第 251–1000 轮,0.42493657906663673
关闭重启与历史路径强化,三个 GP 表达式均值,实际强化路径的平均 gap（%）,第 1001–2500 轮,0.368418081902444
关闭重启与历史路径强化,三个 GP 表达式均值,实际强化路径的平均 gap（%）,第 2501–5000 轮,0.3465635240344485
关闭重启与历史路径强化,三个 GP 表达式均值,强化路径优于本轮最优路径的幅度（百分点）,第 1–250 轮,0.0
关闭重启与历史路径强化,三个 GP 表达式均值,强化路径优于本轮最优路径的幅度（百分点）,第 251–1000 轮,0.0
关闭重启与历史路径强化,三个 GP 表达式均值,强化路径优于本轮最优路径的幅度（百分点）,第 1001–2500 轮,0.0
关闭重启与历史路径强化,三个 GP 表达式均值,强化路径优于本轮最优路径的幅度（百分点）,第 2501–5000 轮,0.0
关闭重启与历史路径强化,三个 GP 表达式均值,强化路径年龄（轮）,第 1–250 轮,0.0
关闭重启与历史路径强化,三个 GP 表达式均值,强化路径年龄（轮）,第 251–1000 轮,0.0
关闭重启与历史路径强化,三个 GP 表达式均值,强化路径年龄（轮）,第 1001–2500 轮,0.0
关闭重启与历史路径强化,三个 GP 表达式均值,强化路径年龄（轮）,第 2501–5000 轮,0.0
关闭重启与历史路径强化,三个 GP 表达式均值,用于历史来源的预算比例,第 1–250 轮,0.0
关闭重启与历史路径强化,三个 GP 表达式均值,用于历史来源的预算比例,第 251–1000 轮,0.0
关闭重启与历史路径强化,三个 GP 表达式均值,用于历史来源的预算比例,第 1001–2500 轮,0.0
关闭重启与历史路径强化,三个 GP 表达式均值,用于历史来源的预算比例,第 2501–5000 轮,0.0
关闭重启与历史路径强化,三个 GP 表达式均值,构造路径平均 gap（%）,第 1–250 轮,15.087623144020343
关闭重启与历史路径强化,三个 GP 表达式均值,构造路径平均 gap（%）,第 251–1000 轮,4.090741717680939
关闭重启与历史路径强化,三个 GP 表达式均值,构造路径平均 gap（%）,第 1001–2500 轮,3.8147194728975684
关闭重启与历史路径强化,三个 GP 表达式均值,构造路径平均 gap（%）,第 2501–5000 轮,3.800778973476526
关闭重启与历史路径强化,三个 GP 表达式均值,2-opt 后路径平均 gap（%）,第 1–250 轮,3.2956713706112613
关闭重启与历史路径强化,三个 GP 表达式均值,2-opt 后路径平均 gap（%）,第 251–1000 轮,0.7914723938886056
关闭重启与历史路径强化,三个 GP 表达式均值,2-opt 后路径平均 gap（%）,第 1001–2500 轮,0.7020993140863904
关闭重启与历史路径强化,三个 GP 表达式均值,2-opt 后路径平均 gap（%）,第 2501–5000 轮,0.6814687414471032
关闭重启与历史路径强化,三个 GP 表达式均值,构造路径最优 gap（%）,第 1–250 轮,8.95418078355058
关闭重启与历史路径强化,三个 GP 表达式均值,构造路径最优 gap（%）,第 251–1000 轮,0.475714832553429
关闭重启与历史路径强化,三个 GP 表达式均值,构造路径最优 gap（%）,第 1001–2500 轮,0.3691133633426811
关闭重启与历史路径强化,三个 GP 表达式均值,构造路径最优 gap（%）,第 2501–5000 轮,0.3469252367865897
关闭重启与历史路径强化,三个 GP 表达式均值,2-opt 后本轮最优 gap（%）,第 1–250 轮,1.9560595849224345
关闭重启与历史路径强化,三个 GP 表达式均值,2-opt 后本轮最优 gap（%）,第 251–1000 轮,0.42493657906663673
关闭重启与历史路径强化,三个 GP 表达式均值,2-opt 后本轮最优 gap（%）,第 1001–2500 轮,0.368418081902444
关闭重启与历史路径强化,三个 GP 表达式均值,2-opt 后本轮最优 gap（%）,第 2501–5000 轮,0.3465635240344485
关闭重启与历史路径强化,三个 GP 表达式均值,构造路径较优七条平均 gap（%）,第 1–250 轮,10.558979523882217
关闭重启与历史路径强化,三个 GP 表达式均值,构造路径较优七条平均 gap（%）,第 251–1000 轮,0.5497357573423917
关闭重启与历史路径强化,三个 GP 表达式均值,构造路径较优七条平均 gap（%）,第 1001–2500 轮,0.38492218879078116
关闭重启与历史路径强化,三个 GP 表达式均值,构造路径较优七条平均 gap（%）,第 2501–5000 轮,0.35983101565521747
关闭重启与历史路径强化,三个 GP 表达式均值,2-opt 后较优七条平均 gap（%）,第 1–250 轮,2.3185821051390496
关闭重启与历史路径强化,三个 GP 表达式均值,2-opt 后较优七条平均 gap（%）,第 251–1000 轮,0.430905466690247
关闭重启与历史路径强化,三个 GP 表达式均值,2-opt 后较优七条平均 gap（%）,第 1001–2500 轮,0.36874107271426454
关闭重启与历史路径强化,三个 GP 表达式均值,2-opt 后较优七条平均 gap（%）,第 2501–5000 轮,0.34675051632438825
关闭重启与历史路径强化,三个 GP 表达式均值,同轮同来源内更新树输出的标准差,第 1–250 轮,0.35999542473356
关闭重启与历史路径强化,三个 GP 表达式均值,同轮同来源内更新树输出的标准差,第 251–1000 轮,0.021596756365894348
关闭重启与历史路径强化,三个 GP 表达式均值,同轮同来源内更新树输出的标准差,第 1001–2500 轮,0.01176952775547193
关闭重启与历史路径强化,三个 GP 表达式均值,同轮同来源内更新树输出的标准差,第 2501–5000 轮,0.010868276056237294
关闭重启与历史路径强化,三个 GP 表达式均值,更新树输出饱和比例,第 1–250 轮,0.5027102666666667
关闭重启与历史路径强化,三个 GP 表达式均值,更新树输出饱和比例,第 251–1000 轮,0.32622816111111114
关闭重启与历史路径强化,三个 GP 表达式均值,更新树输出饱和比例,第 1001–2500 轮,0.3231655972222222
关闭重启与历史路径强化,三个 GP 表达式均值,更新树输出饱和比例,第 2501–5000 轮,0.32292343833333337
关闭重启与历史路径强化,三个 GP 表达式均值,2-opt 平均改进（百分点）,第 1–250 轮,11.79195176681594
关闭重启与历史路径强化,三个 GP 表达式均值,2-opt 平均改进（百分点）,第 251–1000 轮,3.2992695618344277
关闭重启与历史路径强化,三个 GP 表达式均值,2-opt 平均改进（百分点）,第 1001–2500 轮,3.112620130646474
关闭重启与历史路径强化,三个 GP 表达式均值,2-opt 平均改进（百分点）,第 2501–5000 轮,3.119310441657888
关闭重启与历史路径强化,三个 GP 表达式均值,同一路径经 2-opt 后的边保留率,第 1–250 轮,0.8936731828125
关闭重启与历史路径强化,三个 GP 表达式均值,同一路径经 2-opt 后的边保留率,第 251–1000 轮,0.9843020338541665
关闭重启与历史路径强化,三个 GP 表达式均值,同一路径经 2-opt 后的边保留率,第 1001–2500 轮,0.9858348142361111
关闭重启与历史路径强化,三个 GP 表达式均值,同一路径经 2-opt 后的边保留率,第 2501–5000 轮,0.9857994645833332
关闭重启与历史路径强化,三个 GP 表达式均值,每百轮改进全局最优的次数,第 1–250 轮,12.884166666666665
关闭重启与历史路径强化,三个 GP 表达式均值,每百轮改进全局最优的次数,第 251–1000 轮,0.9022222222222221
关闭重启与历史路径强化,三个 GP 表达式均值,每百轮改进全局最优的次数,第 1001–2500 轮,0.09055555555555554
关闭重启与历史路径强化,三个 GP 表达式均值,每百轮改进全局最优的次数,第 2501–5000 轮,0.034
关闭重启与历史路径强化,三个 GP 表达式均值,信息素下界触发比例,第 1–250 轮,0.7563695825
关闭重启与历史路径强化,三个 GP 表达式均值,信息素下界触发比例,第 251–1000 轮,0.8992130083333333
关闭重启与历史路径强化,三个 GP 表达式均值,信息素下界触发比例,第 1001–2500 轮,0.8998928979166666
关闭重启与历史路径强化,三个 GP 表达式均值,信息素下界触发比例,第 2501–5000 轮,0.8999333789166667
关闭重启与历史路径强化,三个 GP 表达式均值,每百轮重启次数,第 1–250 轮,0.0
关闭重启与历史路径强化,三个 GP 表达式均值,每百轮重启次数,第 251–1000 轮,0.0
关闭重启与历史路径强化,三个 GP 表达式均值,每百轮重启次数,第 1001–2500 轮,0.0
关闭重启与历史路径强化,三个 GP 表达式均值,每百轮重启次数,第 2501–5000 轮,0.0
关闭重启与历史路径强化,三个 GP 表达式均值,每轮硬上界裁剪次数,第 1–250 轮,0.0
关闭重启与历史路径强化,三个 GP 表达式均值,每轮硬上界裁剪次数,第 251–1000 轮,0.0
关闭重启与历史路径强化,三个 GP 表达式均值,每轮硬上界裁剪次数,第 1001–2500 轮,0.0
关闭重启与历史路径强化,三个 GP 表达式均值,每轮硬上界裁剪次数,第 2501–5000 轮,0.0
关闭重启与下界保护,不使用 GP,实际强化路径的平均 gap（%）,第 1–250 轮,2.3704228439021353
关闭重启与下界保护,不使用 GP,实际强化路径的平均 gap（%）,第 251–1000 轮,0.6130954134819513
关闭重启与下界保护,不使用 GP,实际强化路径的平均 gap（%）,第 1001–2500 轮,0.6083077628969533
关闭重启与下界保护,不使用 GP,实际强化路径的平均 gap（%）,第 2501–5000 轮,0.605474131158546
关闭重启与下界保护,不使用 GP,强化路径优于本轮最优路径的幅度（百分点）,第 1–250 轮,0.09737339373686084
关闭重启与下界保护,不使用 GP,强化路径优于本轮最优路径的幅度（百分点）,第 251–1000 轮,1.7087487866005265e-05
关闭重启与下界保护,不使用 GP,强化路径优于本轮最优路径的幅度（百分点）,第 1001–2500 轮,4.04335745894393e-06
关闭重启与下界保护,不使用 GP,强化路径优于本轮最优路径的幅度（百分点）,第 2501–5000 轮,3.5121309953164635e-06
关闭重启与下界保护,不使用 GP,强化路径年龄（轮）,第 1–250 轮,6.986375000000001
关闭重启与下界保护,不使用 GP,强化路径年龄（轮）,第 251–1000 轮,428.6874916666667
关闭重启与下界保护,不使用 GP,强化路径年龄（轮）,第 1001–2500 轮,1537.3175166666667
关闭重启与下界保护,不使用 GP,强化路径年龄（轮）,第 2501–5000 轮,3491.1922649999997
关闭重启与下界保护,不使用 GP,用于历史来源的预算比例,第 1–250 轮,0.36
关闭重启与下界保护,不使用 GP,用于历史来源的预算比例,第 251–1000 轮,0.9986666666666667
关闭重启与下界保护,不使用 GP,用于历史来源的预算比例,第 1001–2500 轮,1.0
关闭重启与下界保护,不使用 GP,用于历史来源的预算比例,第 2501–5000 轮,1.0
关闭重启与下界保护,不使用 GP,构造路径平均 gap（%）,第 1–250 轮,16.664352337464937
关闭重启与下界保护,不使用 GP,构造路径平均 gap（%）,第 251–1000 轮,0.7077968784117716
关闭重启与下界保护,不使用 GP,构造路径平均 gap（%）,第 1001–2500 轮,0.6832807459299224
关闭重启与下界保护,不使用 GP,构造路径平均 gap（%）,第 2501–5000 轮,0.6801661094374868
关闭重启与下界保护,不使用 GP,2-opt 后路径平均 gap（%）,第 1–250 轮,3.8323120314360284
关闭重启与下界保护,不使用 GP,2-opt 后路径平均 gap（%）,第 251–1000 轮,0.6217506872725681
关闭重启与下界保护,不使用 GP,2-opt 后路径平均 gap（%）,第 1001–2500 轮,0.6145373285178947
关闭重启与下界保护,不使用 GP,2-opt 后路径平均 gap（%）,第 2501–5000 轮,0.6116733513516656
关闭重启与下界保护,不使用 GP,构造路径最优 gap（%）,第 1–250 轮,11.575569714244496
关闭重启与下界保护,不使用 GP,构造路径最优 gap（%）,第 251–1000 轮,0.6134029597725688
关闭重启与下界保护,不使用 GP,构造路径最优 gap（%）,第 1001–2500 轮,0.6082973098579908
关闭重启与下界保护,不使用 GP,构造路径最优 gap（%）,第 2501–5000 轮,0.6054520039001269
关闭重启与下界保护,不使用 GP,2-opt 后本轮最优 gap（%）,第 1–250 轮,2.4677962376389964
关闭重启与下界保护,不使用 GP,2-opt 后本轮最优 gap（%）,第 251–1000 轮,0.6131125009698173
关闭重启与下界保护,不使用 GP,2-opt 后本轮最优 gap（%）,第 1001–2500 轮,0.6083118062544122
关闭重启与下界保护,不使用 GP,2-opt 后本轮最优 gap（%）,第 2501–5000 轮,0.6054776432895415
关闭重启与下界保护,不使用 GP,构造路径较优七条平均 gap（%）,第 1–250 轮,13.224560463842986
关闭重启与下界保护,不使用 GP,构造路径较优七条平均 gap（%）,第 251–1000 轮,0.614868172881423
关闭重启与下界保护,不使用 GP,构造路径较优七条平均 gap（%）,第 1001–2500 轮,0.6084069708166353
关闭重启与下界保护,不使用 GP,构造路径较优七条平均 gap（%）,第 2501–5000 轮,0.6055049599012237
关闭重启与下界保护,不使用 GP,2-opt 后较优七条平均 gap（%）,第 1–250 轮,2.900240751729216
关闭重启与下界保护,不使用 GP,2-opt 后较优七条平均 gap（%）,第 251–1000 轮,0.6132235566757176
关闭重启与下界保护,不使用 GP,2-opt 后较优七条平均 gap（%）,第 1001–2500 轮,0.6083231864989692
关闭重启与下界保护,不使用 GP,2-opt 后较优七条平均 gap（%）,第 2501–5000 轮,0.6054882976731324
关闭重启与下界保护,不使用 GP,同轮同来源内更新树输出的标准差,第 1–250 轮,0.0
关闭重启与下界保护,不使用 GP,同轮同来源内更新树输出的标准差,第 251–1000 轮,0.0
关闭重启与下界保护,不使用 GP,同轮同来源内更新树输出的标准差,第 1001–2500 轮,0.0
关闭重启与下界保护,不使用 GP,同轮同来源内更新树输出的标准差,第 2501–5000 轮,0.0
关闭重启与下界保护,不使用 GP,更新树输出饱和比例,第 1–250 轮,0.0
关闭重启与下界保护,不使用 GP,更新树输出饱和比例,第 251–1000 轮,0.0
关闭重启与下界保护,不使用 GP,更新树输出饱和比例,第 1001–2500 轮,0.0
关闭重启与下界保护,不使用 GP,更新树输出饱和比例,第 2501–5000 轮,0.0
